image_name,gridline_id,x1_roi,y1_roi,x2_roi,y2_roi,edge1_x,edge1_y,edge2_x,edge2_y,width_px,width_um
CMd_0.23_2mths_Image1,43,7688.50244140625,930.1398315429688,7767.49755859375,1423.860107421875,7724.998185546875,1158.2385989990235,7736.373482421875,1229.334318725586,72,285.7499653404718
CMd_0.23_2mths_Image1,44,7769.65673828125,917.9031982421875,7886.34326171875,1404.0968017578125,7821.4655546875,1133.773158203125,7838.968533203125,1206.7021987304688,75,297.6562290756215
CMd_0.23_2mths_Image1,45,7915.515625,887.3118896484375,7940.484375,1386.6881103515625,7926.7515625,1112.0311889648438,7930.59675,1188.935126953125,77,305.59377950831356
CMd_0.23_2mths_Image1,46,8030.5,882.0125122070312,8025.5,1381.987548828125,8028.23,1109.0011788330078,8027.59,1172.997983520508,64,254.00001892008544
CMd_0.23_2mths_Image1,47,8023.5234375,905.8773803710938,8232.4765625,1360.12255859375,8111.28375,1096.6603552246095,8133.8506875,1145.7188344726562,54,214.3125387416093
CMd_0.23_2mths_Image1,48,8160.59228515625,846.2589721679688,8295.4072265625,1327.740966796875,8219.910859375,1058.1110498046876,8237.436801757813,1120.7037091064453,65,257.96873946362774
CMd_0.23_2mths_Image1,49,8323.0009765625,809.0499877929688,8332.9990234375,1308.9500732421875,8327.62007421875,1040.0038272705078,8328.97980859375,1107.9902388916016,68,269.8750304275684
CMd_0.23_2mths_Image1,50,8405.5908203125,808.0064086914062,8450.4091796875,1305.99365234375,8426.29690234375,1038.0765152587892,8431.7647421875,1098.830958984375,61,242.0937404022054
CMd_0.23_2mths_Image1,51,8658.369140625,789.8927001953125,8797.630859375,1270.1072998046875,8720.758390625,1005.0288408203126,8739.9765078125,1071.2984555664061,69,273.8436886519808
CMd_0.23_2mths_Image1,52,9025.4091796875,686.0196533203125,9230.5908203125,1141.9803466796875,9102.96783984375,858.3727954101562,9138.25908203125,936.7980346679688,86,341.31226759227246
CMd_0.23_2mths_Image1,53,9228.0,619.0,9228.0,1119.0,9228.0,839.0,9228.0,915.0,76,301.625
CMd_0.23_2mths_Image1,54,453.6556396484375,4159.5927734375,610.3443603515625,4634.4072265625,526.3592060546875,4379.9066796875,535.760529296875,4408.395546875,30,119.06252859689803
